feature,importance
routinely_travel_to_other_time_zones__cir_0100,0.0013810918522447998
feel_more_alert_if_skip_lunch__diet_0500,0.0013732248488824794
"('irregular_schedule', 'sched_9910')_True",0.0013729987273405325
family_history_of_other_sleep_disorder__famhx_0500,0.0013455014211044163
percentage_of_snack_2_among_all_food_intake_over_24_hours__diet_0350,0.0013449425928677358
feeling_that_sleep_is_unrefreshing_time_frame__isq_0520,0.0013242743665500473
hypnogogic_hallucinations_age_of_the_first_episode__map_1130,0.0013201970964725814
sleep_attacks_never__slpy_0201,0.0013168853047944348
trigger_for_sleep_disorder__mdhx_5500,0.0013117165254287542
feel_paralyzed_(cataplexy)_number_of_times__map_1020,0.00130860737739974
frequency_of_muscle_weakness_when_laugh_current__narc_0200,0.0013000400159047527
forget_to_use_your_pap_with_naps__pap_0400,0.0012900631691732212
nasal_jaw_or_apnea_surgery_self-reported__mdhx_5920,0.0012727458220435602
neurologic_problem_self-reported__mdhx_6200,0.0012645780553778257
patient_health_questionnaire_9_thought_you_would_be_better_off_dead__phq_0900,0.0012456984464146803
endocrine_or_metabolic_problem_self-reported__mdhx_6320,0.0012450405598500378
family_history_of_fibromyalgia_or_chronic_fatigue__famhx_0700,0.0012273859148701758
on_nights_pap_was_used_how_many_hours_of_pap_use__mdhx_0800,0.0012248599830331699
family_history_of_sleepwalking__famhx_0600,0.0011803328357939196
meets_diagnostic_insomnia_criteria__isq_score,0.001151779288703774
cigarette_smoking_current_smoker__current_cigarette_smoker,0.0011491579949599636
usually_no_breakfast__diet_0801,0.0011414205439950382
usually_no_additional_meal/snack1__diet_0831,0.0011372861208937583
self-reported_frequency_of_napping__soclhx_0110,0.0011137932472654146
type_2_diabetes_self-reported__mdhx_6310,0.0011120365261783345
difficulty_staying_awake_during_the_day_never__slpy_0101,0.0011099587780653258
when_was_the_last_time_you_checked_or_changed_your_tube__pap_1800,0.0010999155607412086
unpleasant_sensation_always_due_to_muscle_cramp_present__rls_0300,0.0010516689084045083
improve_with_movement_present__rls_0400,0.001044340051340882
fall_asleep_before_your_mask/_pap_is_on__pap_0100,0.0010046803041287946
feel_paralyzed_(cataplexy)_time_frame__map_1030,0.0009898868582020044
usually_no_additional_meal/snack4__diet_0861,0.000983013263358652
family_history_of_other_psychiatric_illness__famhx_1000,0.0009538822756524772
frequency_of_eat/drink_in_sleep_time_frame__par_0310,0.0009378841111842225
"('restless_legs_syndrome_(rls)_current_probability', 'rls_probability')_Unlikely",0.0009152080037603836
feel_paralyzed_(cataplexy)_age_of_the_first_episode__map_1040,0.0009050296054108646
frequency_of_muscle_weakness_when_tell_or_hear_joke_present__narc_0100,0.0008953658272714097
"('restless_legs_syndrome_(rls)_current_probability', 'rls_probability')_Likely",0.0008763807589688342
when_was_the_last_time_you_replaced_your_mask__pap_1600,0.0008667042904877638
do_you_fall_asleep_during_a_typical_episode__narc_1400,0.0008230577151088705
"('restless_legs_syndrome_(rls)_current_probability', 'rls_probability')_Unlikely (possibly in past)",0.0008194107569293983
"('restless_legs_syndrome_(rls)_current_probability', 'rls_probability')_Possible",0.0008137238766706284
ear_nose_and_throat_problem_or_surgery_other_self-reported__mdhx_5950,0.0008133216803616716
my_mask_size__pap_1400,0.0008036387915954342
dentures_removed_while_sleeping_self-reported__mdhx_6030,0.0007921215502552296
feel_paralyzed_(cataplexy)_when__map_1010,0.0007513965454632675
duration_of_the_muscle_weakness__narc_1100,0.0007272614646653266
sleepwalk_age_of_the_first_episode__par_0230,0.0007235948935242487
oophorectomy_bilateral_self-reported__mdhx_1400,0.0007212500261909573
family_history_of_death_during_sleep__famhx_1200,0.0007105432294050005
pulmonary_problem_other_self-reported__mdhx_5820,0.0007034556988940657
frequency_of_sleepwalk_number_of_times__par_0200,0.0006877582168152028
alcohol_consumption_as_sleep_aid__soclhx_0800,0.0006874636691781765
genetic_testing_source_self-reported__mdhx_6910,0.0006788854193807639
frequency_of_muscle_weakness_when_stressed_current__narc_0400,0.0006663005122598281
usually_no_additional_meal/snack5__diet_0871,0.0006651761669745633
when_was_the_last_time_you_checked_or_changed_your_filters__pap_1700,0.0006463496510424556
sensations_worse_in_evening_present__rls_0500,0.0006403252343880889
alcohol_consumption_time_frame__soclhx_0710,0.0006321504971096783
cataplexy_severity_score_current__narc_2200,0.0006303753296075527
how_often_did_sensations_occur_past__rls_0710,0.0006292889975084707
violent_behavior_during_sleep_age_of_the_first_episode__par_0630,0.0006259269427435601
usually_no_additional_meal/snack3__diet_0851,0.0006207042021912413
cataplexy_frequency_score_current__narc_2100,0.0006152923146664335
muscle_weakness_time_frame__narc_1610,0.0005917458549272819
how_do_you_feel_about_your_current_mask__pap_1900,0.0005855130220899337
sensations_were_worse_in_evening_past__rls_0510,0.0005851277166717544
percentage_of_snack_3_among_all_food_intake_over_24_hours__diet_0360,0.0005821938771378745
seizures_during_sleep__par_0800,0.0005329127276674329
smokeless_user_current_smoker__current_smokeless_user,0.0005282398655672802
does_your_pap_have_a_heated_tube__pap_0700,0.0005050521864363993
frequency_of_muscle_weakness_when_angry_current__narc_0300,0.0004963417648922268
my_current_mask_type__pap_1300,0.0004887215359463781
frequency_of_pap_use__mdhx_0700,0.00048757052006263895
use_sleep_aids_at_least_once_per_week__mdhx_5600,0.0004784120788404545
chronic_obstructive_pulmonary_disease_self-reported__mdhx_5810,0.00045980762213354245
frequency_of_sleepwalk_time_frame__par_0210,0.0004521173495661815
muscle_weakness_number_of_episode__narc_1600,0.00040811447737022793
family_history_of_narcolepsy__famhx_0300,0.00040193159207384596
do_you_have_time_to_sit_or_break_your_fall_during_a_typical_episode__narc_1500,0.0003802560396781903
exercise_time_frame__soclhx_0520,0.00037613569143220873
smokeless_user_former_smoker__former_smokeless_user,0.0003634539216774344
forget_to_take_your_pap_when_you_travel__pap_0500,0.0003431572152929363
frequency_of_violent_behavior_during_sleep_time_frame__par_0610,0.0003317933237287228
usually_no_lunch__diet_0811,0.0003191331457796304
frequency_of_violent_behavior_during_sleep_times__par_0600,0.0003048044792462805
did_it_begin_with_pregnancy__rls_0900,0.00030473487940430944
do_you_use_a_chin_strap__pap_2100,0.0003044309941270979
can_you_see_during_a_typical_episode__narc_1300,0.0002979290544801459
usually_no_additional_meal/snack2__diet_0841,0.0002966969325613461
how_often_do_you_use_your_heated_humidifier__pap_0800,0.0002951985061759426
weakness_in_arms__narc_0800,0.00026071177892258616
improved_with_movement_past__rls_0410,0.00024637625540558506
do_you_use_a_heated_humidifier__pap_0600,0.00024054431400037906
remove_your_mask_unknowingly_while_sleeping__pap_0200,0.0002188529840987169
cigarette_smoking_time_frame__soclhx_1310,0.00021243550736038132
did_it_end_with_same_pregnancy__rls_0910,0.000208538362451081
frequency_of_muscle_weakness_when_stressed_before_treatment__narc_0410,0.00020650494300482596
currently_being_treated_for_narcolepsy__narc_0050,0.0001895089013565213
muscle_weakness_last_experience__narc_1650,0.00017043381493248534
congestive_heart_failure_self-reported__mdhx_5710,0.0001695750145759187
type_of_pap_device__mdhx_0400,0.0001694958491455447
frequency_of_muscle_weakness_when_making_verbal_response_in_playful_context_current__narc_0500,0.0001604893434052439
unpleasant_sensation_was_always_due_to_muscle_cramp_past__rls_0310,0.00015938909578679442
abrupt_dropping_of_head_and/or_shoulders__narc_0700,0.0001452552114845577
muscle_weakness_age_of_the_first_episode__narc_1700,0.00013476495583709583
how_often_do_you_get_water_in_my_tubing/_mask__pap_1200,0.00013051597268700092
forget_to_put_mask_on_after_bathroom__pap_0300,0.00010160063028856804
frequency_of_muscle_weakness_when_angry_before_treatment__narc_0310,0.00010004986563910543
fallen_to_ground_unable_to_move__narc_1000,9.820382156322448e-05
frequency_of_muscle_weakness_when_laugh_before_treatment__narc_0210,6.79275163538716e-05
cataplexy_frequency_score_before_treatment__narc_2110,6.667105737371679e-05
sagging_or_dropping_of_jaw__narc_0600,5.444165816957613e-05
usually_no_dinner__diet_0821,5.062977512319206e-05
percentage_of_snack_5_among_all_food_intake_over_24_hours__diet_0380,2.793754250689844e-05
slurring_of_speech__narc_0900,2.2381943130950122e-05
percentage_of_snack_4_among_all_food_intake_over_24_hours__diet_0370,1.0587050642415575e-05
hypnogogic_hallucinations_age_of_the_first_episode_dont_know__map_1131,0.0
remember_dreams_never_or_dont_know__par_0901,0.0
can_you_hear_during_a_typical_episode__narc_1200,0.0
muscle_weakness_age_of_the_first_episode_dont_know__narc_1701,0.0
frequency_of_muscle_weakness_when_making_verbal_response_in_playful_context_before_treatment__narc_0510,0.0
frequency_of_muscle_weakness_when_tell_or_hear_joke_before_treatment__narc_0110,0.0
feel_paralyzed_(cataplexy)_age_of_the_first_episode_dont_know__map_1041,0.0
time_in_bed_sch_work_nights_varies__sched_0901,0.0
time_out_bed_sch_work_nights_varies__sched_9901,0.0
rarely_or_never_nap__soclhx_0101,0.0
frequency_of_eat/drink_in_sleep_never_or_dont_know__par_0301,0.0
map_likelihood_ration_(lr)__map_lr,0.0
pregnancy_current__mdhx_1200,0.0
amount_of_sleep_needed_to_feel_fully_rested_never_rested__sched_4201,0.0
time_out_bed_non_sch_non_work_nights_varies__sched_2001,0.0
frequency_of_nightmares_never_or_dont_know__par_0701,0.0
frequency_of_violent_behavior_during_sleep_never_or_dont_know__par_0601,0.0
frequency_of_acting_out_dreams_never_or_dont_know__par_0501,0.0
frequency_of_sleepwalk_never_or_dont_know__par_0201,0.0
frequency_of_leg_twitch/kick_never_or_dont_know__par_0101,0.0
time_in_bed_non_sch_non_work_nights_varies__sched_1901,0.0
